"comparison_contract_id","lineage_root","audit_card","branch_unit_code","source_terminal_count","receiver_terminal_count","source_country_count","receiver_country_count","source_branch_count","receiver_branch_count","source_adequacy_A_s","diversity_contrast_D","branch_unit_state","decision_basis","rarefaction_median_D","rarefaction_p975_D","permutation_p","leave_one_country_min_D","leave_one_country_preserves_direction"
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","deepest_observed","346","70","7","10","219","52","4.942857142857143","-1.3953939168199203","Pass","","","","","",""
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","residualized_counts","346","70","7","10","219","52","4.942857142857143","-1.3953939168199203","Pass","","","","","",""
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","direct_child_cutset","346","70","7","10","1","2","4.942857142857143","0.0285674570519097","Fail","A_s <= 1 or D >= 0","","","","",""
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","depth2_cutset","346","70","7","10","1","3","4.942857142857143","0.0575426413073335","Fail","A_s <= 1 or D >= 0","","","","",""
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","depth3_cutset","346","70","7","10","1","3","4.942857142857143","0.0575426413073335","Fail","A_s <= 1 or D >= 0","","","","",""
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","E-M81","count_balanced_frontier","346","70","7","10","1","3","4.942857142857143","0.0575426413073335","Fail","A_s <= 1 or D >= 0","","","","",""
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","PH908","deepest_observed","64","299","9","9","45","172","0.2140468227424749","1.3231102091485545","Fail","A_s <= 1 or D >= 0","","","","",""
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","PH908","residualized_counts","64","299","9","9","45","172","0.2140468227424749","1.3231102091485545","Fail","A_s <= 1 or D >= 0","","","","",""
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","PH908","direct_child_cutset","64","299","9","9","13","14","0.2140468227424749","-0.4226707278560457","Fail","A_s <= 1 or D >= 0","","","","",""
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","PH908","depth2_cutset","64","299","9","9","27","35","0.2140468227424749","-0.6845095154283698","Fail","A_s <= 1 or D >= 0","","","","",""
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","PH908","depth3_cutset","64","299","9","9","38","62","0.2140468227424749","-0.6029633090795775","Fail","A_s <= 1 or D >= 0","","","","",""
