metric,observed_value
minimum_PH908_margin,0.43876243976578166
maximum_negative_control_margin,0.13615096351638645
median_PH908_margin,1.0967423537287884
median_negative_control_margin,-0.15540595871894458
PH908_vs_negative_control_margin_AUROC,1.0
block_permutation_p_value,4.999750012499375e-05
matched_block_pair_count,136
mean_paired_block_margin_difference,1.4271110178149455
negative_control_T95_margin_threshold_linear_quantile,0.031023104985980265
negative_control_T95_margin_threshold_empirical_nearest_rank,0.03128545452680154
