root,source_region,receiver_region,source_n,receiver_n,source_country_count,receiver_country_count,source_branch_count,receiver_branch_count,deepest_A_s,deepest_D,deepest_call,source_receiver_reliability_score,display_class
A1b,americas_indigenous_relevant,balkan,345,2164,11,10,287,1433,0.1594269870609981,3.5736057156003933,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,caribbean,345,221,11,14,287,193,1.5610859728506787,-0.656124384653596,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,central_africa,345,91,11,5,287,67,3.791208791208791,-3.186887258064487,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,central_asia,345,357,11,6,287,258,0.9663865546218487,-0.4380447454032097,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,east_africa,345,76,11,3,287,48,4.539473684210527,-4.3598137210609735,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,east_asia,345,2247,11,7,287,1580,0.1535380507343124,3.7897104788895435,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,east_europe,345,3648,11,10,287,2623,0.0945723684210526,5.02000230603024,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,north_africa,345,1158,11,7,287,815,0.2979274611398964,2.4113477118269677,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,north_america,345,2846,11,4,287,2219,0.1212227687983134,4.606609783398472,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,north_europe,345,3637,11,7,287,2326,0.0948583997800384,4.74323893453707,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,northeast_africa,345,343,11,6,287,230,1.0058309037900874,-0.5450480393522663,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,pacific_oceania,345,131,11,6,287,122,2.633587786259542,-1.603689712772574,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,south_america,345,193,11,8,287,171,1.787564766839378,-1.0200325198229951,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,south_asia,345,816,11,5,287,593,0.4227941176470588,1.7352564663641588,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,southeast_asia,345,301,11,9,287,245,1.1461794019933556,-0.20759721015597374,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,southern_africa,345,39,11,6,287,36,8.846153846153847,-4.426630341893864,True,1.0,broad-root deferred
A1b,americas_indigenous_relevant,west_africa,345,351,11,13,287,234,0.9829059829059827,-0.8377640126580286,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,west_asia,345,15790,11,19,287,9377,0.0218492716909436,7.909257997858036,False,1.0,broad-root deferred
A1b,americas_indigenous_relevant,west_europe,345,9034,11,21,287,6332,0.0381890635377462,6.817488093800051,False,1.0,broad-root deferred
A1b,balkan,americas_indigenous_relevant,2164,345,10,11,1433,287,6.272463768115942,-3.5736057156003933,True,1.0,broad-root deferred
A1b,balkan,caribbean,2164,221,10,14,1433,193,9.79185520361991,-4.22973010025399,True,1.0,broad-root deferred
A1b,balkan,central_africa,2164,91,10,5,1433,67,23.78021978021978,-6.76049297366488,True,1.0,broad-root deferred
A1b,balkan,central_asia,2164,357,10,6,1433,258,6.061624649859944,-4.011650461003603,True,1.0,broad-root deferred
A1b,balkan,east_africa,2164,76,10,3,1433,48,28.473684210526315,-7.933419436661367,True,1.0,broad-root deferred
A1b,balkan,east_asia,2164,2247,10,7,1433,1580,0.963061860258122,0.216104763289151,False,1.0,broad-root deferred
A1b,balkan,east_europe,2164,3648,10,10,1433,2623,0.5932017543859649,1.4463965904298473,False,1.0,broad-root deferred
