display_order,lineage_root,audit_card,figure3_role,comparison_framework,branch_resolution_order,branch_resolution_layer,source_terminal_count,receiver_terminal_count,source_country_count,receiver_country_count,source_branch_count,receiver_branch_count,source_adequacy_A_s,diversity_contrast_D,branch_unit_decision,stability_dot_class,pattern_summary,reported_interpretation,additional_sensitivity_evidence_status,source_matrix_file,source_pivot_file,claim_boundary
1,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,1,Deepest observed branch layer,64,299,9,9,45,172,0.214047,1.323110,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
2,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,2,Residualized-count branch layer,64,299,9,9,45,172,0.214047,1.323110,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
3,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,3,Direct-child cutset layer,64,299,9,9,13,14,0.214047,-0.422671,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
4,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,4,Depth-2 cutset layer,64,299,9,9,27,35,0.214047,-0.684510,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
5,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,5,Depth-3 cutset layer,64,299,9,9,38,62,0.214047,-0.602963,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
6,I-PH908,PH908,Held-out PH908 source-receiver test,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,6,Count-balanced frontier layer,64,299,9,9,38,62,0.214047,-0.602963,Fail,Fail,Fails all evaluated branch-resolution layers.,Stable rejection of the specified source-receiver hypothesis under the PH908/R1a source-receiver test geometry.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
7,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,1,Deepest observed branch layer,1281,144,11,9,803,94,8.895833,-2.091958,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
8,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,2,Residualized-count branch layer,1281,144,11,9,803,94,8.895833,-2.091958,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
9,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,3,Direct-child cutset layer,1281,144,11,9,5,2,8.895833,-0.383467,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
10,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,4,Depth-2 cutset layer,1281,144,11,9,10,3,8.895833,-0.423059,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
11,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,5,Depth-3 cutset layer,1281,144,11,9,17,4,8.895833,-0.589851,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
12,R-Z280,R-Z280,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,6,Count-balanced frontier layer,1281,144,11,9,17,4,8.895833,-0.589851,Pass,Pass,Passes all evaluated branch-resolution layers.,Robust matched R1a source-receiver comparator.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
13,R-M458,R-M458,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,1,Deepest observed branch layer,782,80,11,10,491,54,9.775000,-2.254574,Pass,Pass,Passes the fine branch layers and the depth-3/count-balanced layers but fails direct-child and depth-2 compression.,Matched R1a source-receiver comparator with scale sensitivity.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
14,R-M458,R-M458,Matched R1a source-receiver comparator,Eastern Europe/Russia-to-Balkans PH908/R1a source-receiver geometry,2,Residualized-count branch layer,782,80,11,10,491,54,9.775000,-2.254574,Pass,Pass,Passes the fine branch layers and the depth-3/count-balanced layers but fails direct-child and depth-2 compression.,Matched R1a source-receiver comparator with scale sensitivity.,No rarefaction or additional sensitivity field is reported for this row in Table 11.,tables/11_branch_unit_reliability_pass_matrix.csv,tables/12_branch_unit_reliability_pass_pivot_summary.csv,"Branch-unit stability overlay only; not confidence or rarefaction evidence and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
