plot_order,branch_resolution_layer,ambiguity_handling_mode,source_mask,source_terminal_count,receiver_terminal_count,source_country_count,receiver_country_count,PH908_source_adequacy_A_s,minimum_matched_R1a_source_adequacy_A_s,PH908_A_s_gap_to_envelope,source_visibility_multiplier_needed,source_visibility_burden_state,matched_R1a_comparator_envelope_entry,positive_controls_pass,interpretation,source_summary_file,claim_boundary
1,Deepest observed branch layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",90,25,17,3,3.600000,8.895833,5.295833,2.471065,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 2.471-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
2,Count-balanced frontier layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",90,56,17,2,1.607143,8.895833,7.288690,5.535185,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 5.535-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
3,Depth-3 cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",90,56,17,2,1.607143,8.895833,7.288690,5.535185,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 5.535-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
4,Depth-2 cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",90,57,17,2,1.578947,8.895833,7.316886,5.634028,Control-failing transparency trace,No,No,"At this adversarial state, PH908 would need 5.634-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
5,Deepest observed branch layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",59,25,14,3,2.360000,4.631944,2.271944,1.962688,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 1.963-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
6,Direct-child cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",90,31,17,2,2.903226,8.895833,5.992608,3.064120,Control-failing transparency trace,No,No,"At this adversarial state, PH908 would need 3.064-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
7,Count-balanced frontier layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",59,56,14,2,1.053571,4.631944,3.578373,4.396422,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 4.396-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
8,Depth-3 cutset layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",59,56,14,2,1.053571,4.631944,3.578373,4.396422,Positive-control-passing visibility-burden trace,No,Yes,"At this adversarial state, PH908 would need 4.396-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
9,Depth-2 cutset layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",59,57,14,2,1.035088,4.631944,3.596857,4.474929,Control-failing transparency trace,No,No,"At this adversarial state, PH908 would need 4.475-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
10,Direct-child cutset layer,Ambiguous assignments excluded,"All non-Balkan, non-diaspora source mask",60,31,15,2,1.935484,4.631944,2.696461,2.393171,Control-failing transparency trace,No,No,"At this adversarial state, PH908 would need 2.393-fold higher source adequacy to reach the matched R1a-comparator source-adequacy threshold; this is a visibility-burden calculation, not a population-size estimate.",tables/06_adversarial_sensitivity_summary.csv,"Source-visibility burden trace only; not a correction for public-tree bias, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
