figure_panel,plotted_layer,sample_id,alternative_id,source_dataset_label,source_publication_label,country,site_or_location,published_group_label,latitude,longitude,date_text,date_median_year_ce,temporal_window,genetic_sex,autosomal_snp_count,mt_haplogroup,y_haplogroup_terminal,y_haplogroup_path,y_haplogroup_isogg,y_lineage_category,lineage_focus,s1_visible_comparator,s1_visibility_assignment_basis,s1_marker_role,coordinate_status,coordinate_source,claim_boundary
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ12.AG,SZ12,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,535929,W6,I-CTS616,I-CTS616,I2a1b1a,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ13.AG,SZ13,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,424-550 calCE (1579±25 BP),487.0,2500 BCE-550 CE,M,832283,N1b1b1,I-Y4928,I-Y4928,I2a1b1a2b1a2a2~,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ14.AG,SZ14,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,371528,I3,I-CTS616,I-CTS616,I2a1b1a,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ16.AG,SZ16,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,663351,U4b1b,R-L151,R-L151,R1b1a1b1a1a,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ18.AG,SZ18,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-2,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,734160,H13a1a2,E-Y20282,E-Y20282,E1b1b1a1b2a4b~,E other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ19.AG,SZ19,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,430-562 calCE (1567±24 BP),496.0,2500 BCE-550 CE,F,776928,HV9c,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ20.AG,SZ20,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,11467,n/a (<2x),I1,I1,I1,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ22.AG,SZ22,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,707936,N1b1b1,I-CTS616,I-CTS616,I2a1b1a,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ23.AG,SZ23,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,729220,H13a1a2,R-S10271,R-S10271,R1b1a1b1a1a1c2b3b,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ25.AG,SZ25,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,367837,n/a (<2x),n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ27.AG,SZ27,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-2,46.283333,17.85,419-543 calCE (1595±27 BP),481.0,2500 BCE-550 CE,M,890299,N1a1a1a1,R-BY1717,R-BY1717,R1b1a1b1a1a2a,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ28.AG,SZ28,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-2,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,780105,H3b5,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ30.AG,SZ30,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,471468,H13a,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ31.AG,SZ31,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,127162,n/a (<2x),n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ32.AG,SZ32,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,797618,H74,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ35.AG,SZ35,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,7125,n/a (<2x),n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ37.AG,SZ37,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,433-593 calCE (1544±26 BP),513.0,2500 BCE-550 CE,M,501182,H66a,R-L2,R-L2,R1b1a1b1a1a2b1,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ38.AG,SZ38,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,747516,HV0,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ40.AG,SZ40,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,747468,T2,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ41.AG,SZ41,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,215693,n/a (<2x),n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ42.AG,SZ42,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,847341,K2a6,R-L2,R-L2,R1b1a1b1a1a2b1,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ6.AG,SZ6,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-2,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,56632,n/a (<2x),I-M436,I-M436,I2a1b,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
