evidence_layer,sample_or_terminal,site_or_locality,region,latitude,longitude,elevation_m,elevation_band,date_median_year_ce,lineage_focus,visible_comparator,source_dataset_label,source_publication_label,source_trace,claim_boundary
Period-relevant ancient-DNA sample rows,SZ12.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ13.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,487.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ14.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ16.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ18.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ19.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,496.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ20.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ22.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ23.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ25.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
