"evidence_layer","elevation_band","site_count","total_sites","site_share","method_note","claim_boundary"
"Period-relevant ancient-DNA sites","0-199 m","68","100","0.6800","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Period-relevant ancient-DNA sites","200-499 m","24","100","0.2400","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Period-relevant ancient-DNA sites","500-799 m","7","100","0.0700","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Period-relevant ancient-DNA sites",">=800 m","1","100","0.0100","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Visible E-V13/J2b/R1b/G2a ancient-DNA comparator sites","0-199 m","36","57","0.6316","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Visible E-V13/J2b/R1b/G2a ancient-DNA comparator sites","200-499 m","16","57","0.2807","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Visible E-V13/J2b/R1b/G2a ancient-DNA comparator sites","500-799 m","4","57","0.0702","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Visible E-V13/J2b/R1b/G2a ancient-DNA comparator sites",">=800 m","1","57","0.0175","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Branch-derived PH908 relic-footprint localities","0-199 m","1","11","0.0909","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Branch-derived PH908 relic-footprint localities","200-499 m","3","11","0.2727","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Branch-derived PH908 relic-footprint localities","500-799 m","3","11","0.2727","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Branch-derived PH908 relic-footprint localities",">=800 m","4","11","0.3636","Unique sites/localities; period-relevant ancient-DNA sites are dated 2500 BCE-550 CE; PH908 relic-footprint localities use the predefined 11-row branch-derived relic-footprint layer retained after parent-or-anchor age >=1400 ybp and documented in s1_19.","Elevation and visibility source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
