source_row_number,sample_id,alternative_id,source_publication_label,source_dataset_label,country,site_or_location,latitude,longitude,date_median_year_ce,lineage_focus,s1_visible_comparator,s1_marker_role,coordinate_status,coordinate_source,within_s1_map_bounds,within_s1_temporal_window,publication_label_review_ready,dataset_label_review_ready,elevation_cross_reference_status,visible_assignment_audit,point_audit_status,failed_checks,claim_boundary
1,SZ12.AG,SZ12,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
2,SZ13.AG,SZ13,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,487.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
3,SZ14.AG,SZ14,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
4,SZ16.AG,SZ16,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
5,SZ18.AG,SZ18,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
6,SZ19.AG,SZ19,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,496.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
7,SZ20.AG,SZ20,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
8,SZ22.AG,SZ22,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
9,SZ23.AG,SZ23,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
10,SZ25.AG,SZ25,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
