source_row_number,lineage_root,terminal_branch,branch_region,locality_label,latitude,longitude,elevation_m,nearest_identified_proxy_km,elevation_band,above_500_m,above_800_m,branch_selection_rule,source_data_layer,row_level_elevation_cross_reference_status,relic_point_audit_status,failed_checks,claim_boundary
1,I-PH908,FT407280,Bosanska Krajina,Gornji Petrovici/Bosanska Krupa,44.8673801,16.248461,375.0,16.692342016468565,200-499 m,No,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
2,I-PH908,FTB12377,Bosanska Krajina,Branesci Donji/Celinac,44.7845621,17.5489684,232.0,119.0100042365649,200-499 m,No,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
3,I-PH908,FTC69351,Bosanska Krajina,Cukali/Srbac,44.9824202,17.5384854,121.0,105.54989780885242,0-199 m,No,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
4,I-PH908,FTB32566,Brda / northern Montenegro,Mioska/Kolasin,42.8154268,19.4133338,899.0,40.5843108640403,>=800 m,Yes,Yes,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
5,I-PH908,FTD21598,Brda / northern Montenegro,Gusinje,42.5637693,19.833253,926.0,38.76568671557066,>=800 m,Yes,Yes,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
6,I-PH908,FTA65128,Kosovo,Gornje Nerodimlje/Urosevac,42.3681012,21.0803991,629.0,59.483758154151,500-799 m,Yes,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
7,I-PH908,Y102777,Kosovo,Gatnje/Urosevac,42.3026887,21.1520113,597.0,50.3681137956588,500-799 m,Yes,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
8,I-PH908,Y134636,Kosovo,Grabovac/Zvecan,42.9331635,20.8391404,497.0,109.00490253392174,200-499 m,No,No,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
9,I-PH908,Y207627,Kosovo,Strpce,42.2401249,21.0253337,841.0,55.81044259364017,>=800 m,Yes,Yes,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
10,I-PH908,A28710,Stari Vlah,Zitin/Miljevici/Prijepolje,43.3092562,19.6594105,909.0,98.99654311210246,>=800 m,Yes,Yes,Predefined PH908 relic-footprint locality layer used for Supplementary Figure S1 visibility and directness tests; ambiguous Y283553 is excluded.,Curated branch-derived PH908 relic-footprint locality layer,Matched to s1_05 row-level elevation source,Pass,none,"Relic locality QA for Supplementary Figure S1 only; branch-derived locality point, not an ancient-DNA observation, frequency surface, ancient territory, origin claim, ethnic-identity claim, continuity claim, or migration-route claim."
