"lineage_root","source_mask","receiver_mask","source_terminal_count","receiver_terminal_count","source_country_count","receiver_country_count","source_branch_count","receiver_branch_count","deepest_source_adequacy_A_s","deepest_diversity_contrast_D","deepest_source_receiver_call","source_receiver_reliability_score","atlas_reliability_state","figure_source_file"
"A1b","Americas Indigenous-relevant","Balkans","345","2164","11","10","287","1433","0.159427","3.573606","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Caribbean","345","221","11","14","287","193","1.561086","-0.656124","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Central Africa","345","91","11","5","287","67","3.791209","-3.186887","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Central Asia","345","357","11","6","287","258","0.966387","-0.438045","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","East Africa","345","76","11","3","287","48","4.539474","-4.359814","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","East Asia","345","2247","11","7","287","1580","0.153538","3.789710","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Eastern Europe","345","3648","11","10","287","2623","0.094572","5.020002","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","North Africa/Maghreb","345","1158","11","7","287","815","0.297927","2.411348","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","North America","345","2846","11","4","287","2219","0.121223","4.606610","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Northern Europe","345","3637","11","7","287","2326","0.094858","4.743239","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Northeast Africa","345","343","11","6","287","230","1.005831","-0.545048","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Pacific/Oceania","345","131","11","6","287","122","2.633588","-1.603690","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","South America","345","193","11","8","287","171","1.787565","-1.020033","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","South Asia","345","816","11","5","287","593","0.422794","1.735256","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Southeast Asia","345","301","11","9","287","245","1.146179","-0.207597","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Southern Africa","345","39","11","6","287","36","8.846154","-4.426630","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","West Africa","345","351","11","13","287","234","0.982906","-0.837764","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","West Asia","345","15790","11","19","287","9377","0.021849","7.909258","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Americas Indigenous-relevant","Western Europe","345","9034","11","21","287","6332","0.038189","6.817488","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Americas Indigenous-relevant","2164","345","10","11","1433","287","6.272464","-3.573606","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Caribbean","2164","221","10","14","1433","193","9.791855","-4.229730","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Central Africa","2164","91","10","5","1433","67","23.780220","-6.760493","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Central Asia","2164","357","10","6","1433","258","6.061625","-4.011650","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","East Africa","2164","76","10","3","1433","48","28.473684","-7.933419","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","East Asia","2164","2247","10","7","1433","1580","0.963062","0.216105","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Eastern Europe","2164","3648","10","10","1433","2623","0.593202","1.446397","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","North Africa/Maghreb","2164","1158","10","7","1433","815","1.868739","-1.162258","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","North America","2164","2846","10","4","1433","2219","0.760365","1.033004","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Northern Europe","2164","3637","10","7","1433","2326","0.594996","1.169633","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Northeast Africa","2164","343","10","6","1433","230","6.309038","-4.118654","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Pacific/Oceania","2164","131","10","6","1433","122","16.519084","-5.177295","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","South America","2164","193","10","8","1433","171","11.212435","-4.593638","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","South Asia","2164","816","10","5","1433","593","2.651961","-1.838349","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Southeast Asia","2164","301","10","9","1433","245","7.189369","-3.781203","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Southern Africa","2164","39","10","6","1433","36","55.487179","-8.000236","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","West Africa","2164","351","10","13","1433","234","6.165242","-4.411370","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","West Asia","2164","15790","10","19","1433","9377","0.137049","4.335652","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Balkans","Western Europe","2164","9034","10","21","1433","6332","0.239540","3.243882","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Americas Indigenous-relevant","221","345","14","11","193","287","0.640580","0.656124","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Balkans","221","2164","14","10","193","1433","0.102126","4.229730","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Central Africa","221","91","14","5","193","67","2.428571","-2.530763","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Central Asia","221","357","14","6","193","258","0.619048","0.218080","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","East Africa","221","76","14","3","193","48","2.907895","-3.703689","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","East Asia","221","2247","14","7","193","1580","0.098353","4.445835","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Eastern Europe","221","3648","14","10","193","2623","0.060581","5.676127","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","North Africa/Maghreb","221","1158","14","7","193","815","0.190846","3.067472","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","North America","221","2846","14","4","193","2219","0.077653","5.262734","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Northern Europe","221","3637","14","7","193","2326","0.060764","5.399363","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Northeast Africa","221","343","14","6","193","230","0.644315","0.111076","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Pacific/Oceania","221","131","14","6","193","122","1.687023","-0.947565","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","South America","221","193","14","8","193","171","1.145078","-0.363908","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","South Asia","221","816","14","5","193","593","0.270833","2.391381","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Southeast Asia","221","301","14","9","193","245","0.734219","0.448527","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Southern Africa","221","39","14","6","193","36","5.666667","-3.770506","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","West Africa","221","351","14","13","193","234","0.629630","-0.181640","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","West Asia","221","15790","14","19","193","9377","0.013996","8.565382","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Caribbean","Western Europe","221","9034","14","21","193","6332","0.024463","7.473612","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Americas Indigenous-relevant","91","345","5","11","67","287","0.263768","3.186887","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Balkans","91","2164","5","10","67","1433","0.042052","6.760493","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Caribbean","91","221","5","14","67","193","0.411765","2.530763","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Central Asia","91","357","5","6","67","258","0.254902","2.748843","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","East Africa","91","76","5","3","67","48","1.197368","-1.172926","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","East Asia","91","2247","5","7","67","1580","0.040498","6.976598","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Eastern Europe","91","3648","5","10","67","2623","0.024945","8.206890","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","North Africa/Maghreb","91","1158","5","7","67","815","0.078584","5.598235","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","North America","91","2846","5","4","67","2219","0.031975","7.793497","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Northern Europe","91","3637","5","7","67","2326","0.025021","7.930126","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Northeast Africa","91","343","5","6","67","230","0.265306","2.641839","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Pacific/Oceania","91","131","5","6","67","122","0.694656","1.583198","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","South America","91","193","5","8","67","171","0.471503","2.166855","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","South Asia","91","816","5","5","67","593","0.111520","4.922144","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Southeast Asia","91","301","5","9","67","245","0.302326","2.979290","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Southern Africa","91","39","5","6","67","36","2.333333","-1.239743","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","West Africa","91","351","5","13","67","234","0.259259","2.349123","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","West Asia","91","15790","5","19","67","9377","0.005763","11.096145","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Africa","Western Europe","91","9034","5","21","67","6332","0.010073","10.004375","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Americas Indigenous-relevant","357","345","6","11","258","287","1.034783","0.438045","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Balkans","357","2164","6","10","258","1433","0.164972","4.011650","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Caribbean","357","221","6","14","258","193","1.615385","-0.218080","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Central Africa","357","91","6","5","258","67","3.923077","-2.748843","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","East Africa","357","76","6","3","258","48","4.697368","-3.921769","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","East Asia","357","2247","6","7","258","1580","0.158879","4.227755","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Eastern Europe","357","3648","6","10","258","2623","0.097862","5.458047","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","North Africa/Maghreb","357","1158","6","7","258","815","0.308290","2.849392","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","North America","357","2846","6","4","258","2219","0.125439","5.044655","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Northern Europe","357","3637","6","7","258","2326","0.098158","5.181284","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Northeast Africa","357","343","6","6","258","230","1.040816","-0.107003","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Pacific/Oceania","357","131","6","6","258","122","2.725191","-1.165645","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","South America","357","193","6","8","258","171","1.849741","-0.581988","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","South Asia","357","816","6","5","258","593","0.437500","2.173301","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Southeast Asia","357","301","6","9","258","245","1.186047","0.230448","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Southern Africa","357","39","6","6","258","36","9.153846","-3.988586","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","West Africa","357","351","6","13","258","234","1.017094","-0.399719","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","West Asia","357","15790","6","19","258","9377","0.022609","8.347303","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Central Asia","Western Europe","357","9034","6","21","258","6332","0.039517","7.255533","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Americas Indigenous-relevant","76","345","3","11","48","287","0.220290","4.359814","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Balkans","76","2164","3","10","48","1433","0.035120","7.933419","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Caribbean","76","221","3","14","48","193","0.343891","3.703689","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Central Africa","76","91","3","5","48","67","0.835165","1.172926","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Central Asia","76","357","3","6","48","258","0.212885","3.921769","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","East Asia","76","2247","3","7","48","1580","0.033823","8.149524","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Eastern Europe","76","3648","3","10","48","2623","0.020833","9.379816","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","North Africa/Maghreb","76","1158","3","7","48","815","0.065630","6.771161","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","North America","76","2846","3","4","48","2219","0.026704","8.966424","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Northern Europe","76","3637","3","7","48","2326","0.020896","9.103053","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Northeast Africa","76","343","3","6","48","230","0.221574","3.814766","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Pacific/Oceania","76","131","3","6","48","122","0.580153","2.756124","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","South America","76","193","3","8","48","171","0.393782","3.339781","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","South Asia","76","816","3","5","48","593","0.093137","6.095070","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Southeast Asia","76","301","3","9","48","245","0.252492","4.152217","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Southern Africa","76","39","3","6","48","36","1.948718","-0.066817","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","West Africa","76","351","3","13","48","234","0.216524","3.522050","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","West Asia","76","15790","3","19","48","9377","0.004813","12.269072","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Western Europe","76","9034","3","21","48","6332","0.008413","11.177302","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Americas Indigenous-relevant","2247","345","7","11","1580","287","6.513043","-3.789710","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Balkans","2247","2164","7","10","1580","1433","1.038355","-0.216105","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
